,LDA_PC1,LDA_PC2,LDA_PC3,player_fifa_api_id,player_positions,player_positions_general
1183,-3.085178452086393,-0.5967603820501308,1.4541059081339531,198046,"CDM, CM",MID
1184,-1.5630901437465266,0.6887629202872362,0.26936339956119243,204147,"LM, CAM, RM",MID
1185,-2.0727028734926622,-1.353615349275364,0.30296171855012766,203843,"RB, LB",DEF
1186,-1.3686384887469711,-1.9661519779048113,0.5235238990376768,204920,RB,DEF
1187,-1.507305874932133,-1.402208978644249,-0.40909762773752956,199554,"RB, RM",MID
1188,-2.0914865683806845,-2.9268097999423697,-1.2927096641320859,179789,"CB, RB",DEF
1189,-1.7354938377773348,-3.3725825170739148,-1.4079253744865796,159577,CB,DEF
1190,-1.8239040925902357,0.6742566716429287,0.9319289851160742,51287,"RW, RM",MID
1191,-1.617463213613451,-2.2637095262840035,-1.323409884769273,219781,RB,DEF
1192,-2.904851934446979,0.13569877478879752,-0.09820663319335826,190416,"CDM, CM, CAM, ST",ATK
1193,-1.633933561006181,-0.908269779788203,0.5070717159152829,181436,"CDM, CM",MID
1194,-1.5775054889161857,-1.3886532189439333,0.0468767247322335,135218,CB,DEF
